Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,Common.Name,Species.Code,Confidence,Begin.Path,File.Offset..s.,deployment_ID,Location,Site,config,datetime_UTC,datetime_local,latitude,longitude
25806,Spectrogram 1,1,318192,318195,0,15000,Ridgway's Rail,ridrai1,0.2608,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_211100.WAV,33,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T21:11:00Z,2025-05-19T21:11:00Z,32.6396792,-117.1111495
25914,Spectrogram 1,1,321440,321443,0,15000,Ridgway's Rail,ridrai1,0.4405,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_221000.WAV,36,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:10:00Z,2025-05-19T22:10:00Z,32.6396792,-117.1111495
25926,Spectrogram 1,1,321993,321996,0,15000,Ridgway's Rail,ridrai1,0.596,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_221900.WAV,39,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:19:00Z,2025-05-19T22:19:00Z,32.6396792,-117.1111495
25928,Spectrogram 1,1,321999,322002,0,15000,Ridgway's Rail,ridrai1,0.4224,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_221900.WAV,45,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:19:00Z,2025-05-19T22:19:00Z,32.6396792,-117.1111495
25938,Spectrogram 1,1,322143,322146,0,15000,Ridgway's Rail,ridrai1,0.2918,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_222200.WAV,24,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:22:00Z,2025-05-19T22:22:00Z,32.6396792,-117.1111495
25940,Spectrogram 1,1,322149,322152,0,15000,Ridgway's Rail,ridrai1,0.7173,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_222200.WAV,30,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:22:00Z,2025-05-19T22:22:00Z,32.6396792,-117.1111495
25990,Spectrogram 1,1,323463,323466,0,15000,Ridgway's Rail,ridrai1,0.3018,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_224600.WAV,24,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:46:00Z,2025-05-19T22:46:00Z,32.6396792,-117.1111495
25994,Spectrogram 1,1,323591,323594,0,15000,Ridgway's Rail,ridrai1,0.5083,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_224800.WAV,42,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:48:00Z,2025-05-19T22:48:00Z,32.6396792,-117.1111495
25996,Spectrogram 1,1,323600,323603,0,15000,Ridgway's Rail,ridrai1,0.8215,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_224800.WAV,51,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:48:00Z,2025-05-19T22:48:00Z,32.6396792,-117.1111495
25998,Spectrogram 1,1,323604,323607,0,15000,Ridgway's Rail,ridrai1,0.5356,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_224900.WAV,0,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:49:00Z,2025-05-19T22:49:00Z,32.6396792,-117.1111495
